tieu_de,gia_ban,don_gia,dien_tich,dia_chi,mo_ta,dien_thoai,loai_hinh,dien_tich_dat,dien_tich_su_dung,gia_m2,giay_to_phap_ly,so_phong_ngu,so_phong_ve_sinh,tong_so_tang,tinh_trang_noi_that,huong_cua_chinh,dac_diem,chieu_ngang,chieu_dai,ma_can,ten_phan_khu_lo,bieu_do_gia
GÒ VẤP 2 TẦNG - 54m² HẺM 6M - ĐƯỜNG SỐ 51 - nhỉnh 6 TỶ,6 tỷ,"111,11 triệu/m²",54 m²,"Đường số 51, Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh (Phường An Hội Tây, TP Hồ Chí Minh mới)","🍀 HẺM XE HƠI VÀO ĐẾN NHÀ - HẺM NHỰA SẠCH SẼ
 NHÀ HẺM 1 SẸC - VÀI BƯỚC RA MẶT TIỀN ĐƯỜNG 

🕌 2 phòng ngủ - 3 WC riêng biệt 
 Sân để xe - Ban công thoáng mát 

🛵 Gần E mart - Chợ Thạch Đà - Công viên Làng Hoa.

❄️ Pháp lý chuẩn - Hoàn công đầy đủ

💸 6,3T còn TL",0898942202,"Nhà ngõ, hẻm",54 m²,,"111,11 triệu/m²",Đã có sổ,2 phòng,3 phòng,2,,,Hẻm xe hơi,,,,,"[105.71, 108.33, 105.8, 104, 104, 107.82, 114.29, 114.29, 120.59, 122.49, 122.49, 122.49, 122.49]"
"CHDV 6 TẦNG THANG MÁY. GẦN SÂN BAY. 6x21 NỞ HẬU 8,5. HXH SÁT MẶT TIỀN","23,5 tỷ","180,77 triệu/m²",130 m²,"Đường Quang Trung, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh (Phường Gò Vấp, TP Hồ Chí Minh mới)","🏦🏦 BÁN TOÀ CHDV 5 TẦNG THANG MÁY - GẦN SÂN BAY - MERCERDES

📐 DIỆN TÍCH: 130M2 - 6M X 21M (NỞ HẬU 8,5M)

🏗️ KẾT CẤU 5 TẦNG: 12CHDV (2PN, 1PN, STUDIO) - KHAI THÁC 110TR/TH

🚘 HXH VÀO TẬN NHÀ, 10M RA MẶT TIỀN

📕 SHR HOÀN CÔNG, PCCC, HỖ TRỢ VAY
BANK

💰💰💰GIÁ CHỈ HƠN 170TR/M2 - TL MẠNH",0393996868,"Nhà ngõ, hẻm",130 m²,800 m²,"180,77 triệu/m²",Đã có sổ,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,6,Nội thất đầy đủ,Đông Nam,Hẻm xe hơi,6 m,21 m,,,"[107.46, 107.46, 106.79, 115.2, 115.2, 110.54, 110.54, 115, 109.26, 120.83, 110.7, 112.41, 112.5]"
BÁN NHÀ 1 XẸC NGUYỄN VĂN KHỐI – P. THÔNG TÂY HỘI – TP.HCM 🔥,"13,5 tỷ","241,07 triệu/m²",56 m²,"Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh (Phường An Hội Tây, TP Hồ Chí Minh mới)","BÁN NHÀ 1 XẸC NGUYỄN VĂN KHỐI – P. THÔNG TÂY HỘI – TP.HCM 🔥
💎 Nhà cao 6 tầng – Phù hợp ở + làm văn phòng + cho thuê
📍 Vị trí: 1 xẹc đường Nguyễn Văn Khối, phường Thông Tây Hội, TP. Hồ Chí Minh.
Hẻm sạch sẽ, khu dân cư an ninh, cách mặt tiền chỉ vài bước chân.
🏠 Diện tích: 4m x 14m (56m²)
🏗 Kết cấu: 1 trệt + 5 tầng lầu
✔ Thiết kế hiện đại
✔ Phù hợp mở văn phòng công ty, spa, căn hộ dịch vụ
✔ Có thể khai thác cho thuê dòng tiền tốt
✔ Nhà xây kiên cố, sử dụng ngay
🌟 Khu vực trung tâm Gò Vấp – tiện ích đầy đủ:
– Gần chợ, trường học, siêu thị
– Di chuyển nhanh ra Quang Trung, Phạm Văn Chiêu
– Khu vực kinh doanh sầm uất
💰 Giá bán: 13 tỷ 500 triệu (thương lượng thiện chí)
📞 Liên hệ ngay để xem nhà và làm việc chính chủ.
Nhà đẹp – vị trí tốt – giá hợp lý trong phân khúc nhà cao tầng trung tâm!
#ban_nha_go_vap
#ban_nha_nguyen_van_khoi
#nha_phuong_thong_tay_hoi
#nha_6_tang
#nha_mat_tien_hem
#nha_dep_go_vap
#bat_dong_san_tphcm
#ban_nha_13ty500
#vietdoor_land",0399114456,"Nhà ngõ, hẻm",56 m²,56 m²,"241,07 triệu/m²",Đã có sổ,6 phòng,6 phòng,6,Nội thất cao cấp,Tây,Hẻm xe hơi,4 m,14 m,,Nguyễn văn khối,"[105.71, 108.33, 105.8, 104, 104, 107.82, 114.29, 114.29, 120.59, 122.49, 122.49, 122.49, 122.49]"
NHÀ 4 TẦNG HẺM XE TẢI TRÁNH – Ở NGAY – TRUNG TÂM P11 GÒ VẤP,"8,35 tỷ",167 triệu/m²,50 m²,"163/13, Đường Nguyễn Văn Khối, Phường 11, Quận Gò Vấp, Tp Hồ Chí Minh (Phường Thông Tây Hội, TP Hồ Chí Minh mới)","Chính chủ cần bán gấp căn nhà hẻm xe tải ngay ngã tư Nguyễn Văn Khối – Lê Văn Thọ, P11, Gò Vấp – Ho Chi Minh City.

📐 Diện tích: 4m x 12,5m (50m² – công nhận đủ)
🏠 Kết cấu: 1 trệt, 2 lầu, sân thượng trước – 4PN, 3WC
🚛 Hẻm xe tải vào tận nhà, khu dân trí cao, nhà cao tầng đồng bộ

🌳 Cách công viên Làng Hoa vài bước chân
🛒 Cách chợ Hạnh Thông Tây, BV Gò Vấp, Coopmart khoảng 1km
Tiện ích xung quanh đầy đủ, vị trí trung tâm Phường 11.

Nhà thiết kế giếng trời thông thoáng, có hệ thống nước nóng năng lượng mặt trời.
Nhà còn rất mới, vào ở ngay, không cần sửa chữa.

Giá: còn thương lượng cho khách thiện chí
Hỗ trợ ngân hàng nếu khách cần vay.
Liên hệ chính chủ để xem nhà.",0986883695,"Nhà mặt phố, mặt tiền",50 m²,200 m²,167 triệu/m²,Đã có sổ,4 phòng,3 phòng,4,Hoàn thiện cơ bản,Tây,,4.1 m,13 m,,,"[152.16, 152.16, 152.16, 152.16, 152.16, 152.16, 152.16, 152.16, 152.16, 152.16, 152.16]"
BÁN NHÀ CHÍNH CHỦ KHU CĂN CỨ 26 DT 10 X19 M,"24,8 tỷ",310 triệu/m²,80 m²,"Đường Phạm Huy Thông, Phường 6, Quận Gò Vấp, Tp Hồ Chí Minh (Phường An Nhơn, TP Hồ Chí Minh mới)","🆘🆘🆘 CỰC HIẾM KHU CĂN CỨ 26 ( nhiều lúc có tiền muốn mua cũng k có )KHU VÍP NHẤT PHẠM HUY THÔNG THÔNG P6 thông ra mt DQH 
🆘🆘DT 10 x 19 M ( có 2 sổ ) 
Mt to vị trí quá đẹp khu đẹp dt rộng dài ( GÌ CŨNG OK HẾT ) ace nua xây chdv hoặc xây 2 căn nhà bán ở cho thuê thì nhanh lên thì còn chậm thì hết 
☎️☎️☎️ GỌI LIỀN PHUONG ANH NHE *** ( bao giá rẻ nhất )",,Nhà phố liền kề,80 m²,90 m²,310 triệu/m²,Đã có sổ,1 phòng,1 phòng,,Nội thất đầy đủ,,,5 m,19 m,,,[]
Nhà 4 Lầu cao cáp T.kế cổ điển Full nội thất HXh 33-10 Đường Số 1,"8,7 tỷ","181,25 triệu/m²",48 m²,"Đường Số 1, Phường 4, Quận Gò Vấp, Tp Hồ Chí Minh (Phường Hạnh Thông, TP Hồ Chí Minh mới)","Nhà bán 4 lầu cao cấp tuyệt đẹp HXH 33/10 Đường Số 1, P.04, Q.Gò vấp, Giá: 8.7 Tỷ

DTKV: (3.5x14m) , Trệt, 2 Lầu, ,Sân thượng, 4 phòng ngủ,5 wc, full nội thất,4 máy lạnh, 1 tủ lạnh, giường tủ, Sân để xe

 Vị trí nhà tuyệt đẹp nằm ngay trung tâm quận Gò Vấp,kế bên trường đại học công nghiệp, giáp Q. Bình Thạnh- Phú Nhuận thuận tiện giao thông ra trung tâm Thành Phố và các quận lân cận.
 Tiện ích: Nằm Gần siêu thị, chợ, trường học, các trường tiểu học và trung học, trung tâm thương mại, bệnh viện, ngân hàng khu city land đầy đủ mọi dịch vụ…..
 Sổ hồng chính chủ.
 Giá: 8.7 tỷ (TL khách thiện chí).
 Hh 1% khi nhận cọc",0966527778,"Nhà ngõ, hẻm",48 m²,,"181,25 triệu/m²",Đã có sổ,4 phòng,5 phòng,,,,Hẻm xe hơi,,,,,"[112.89, 125, 113.64, 113.64, 105.69, 91.73, 114.56, 124.24, 124.44, 113.68, 113.68, 113.68, 113.68]"
"Bán nhà 99m2 , hẻm xe hơi thông, Nguyễn Tư Giản, Gò Vấp, chỉ 8,6 tỷ","8,6 tỷ","86,87 triệu/m²",99 m²,"Đường Nguyễn Tư Giản, Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh (Phường An Hội Tây, TP Hồ Chí Minh mới)","Bán nhà 1 đời chủ, gần mặt tiền Nguyễn Tư Giản , hẻm xe hơi thông.
- Diện tích 5,2 x 18m , nở hậu.
- Kết cấu 2 tầng BTCT, gồm sân để xe rộng rãi, phòng khách, bếp. Có 3 phòng ngủ ( có phòng ngủ trệt cho người già). Bán công, giếng trời thoáng mát.
- Khu an ninh, dân trí cao.
- Tiện ích xung quanh đầy đủ, gần Emart 2, trường học, UB, nhà ga T3,..
- Sổ hồng chính chủ, hoàn công đủ, công chứng nhanh.
Liên hệ em để được tư vấn và hỗ trợ xem nhà miễn phí nhé.
Ms 5 226ntc",0988998567,"Nhà ngõ, hẻm",99 m²,190 m²,"86,87 triệu/m²",Đã có sổ,3 phòng,3 phòng,2,,,Hẻm xe hơi,5.2 m,18 m,,,"[78.35, 113.71, 113.71, 110.29, 112, 114.06, 114.06, 123.48, 128.41, 128.41, 137.83, 136.29, 136.29]"
CHỦ KẸT CẦN TIỀN ! NHÀ 4 TẦNG LÊ ĐỨC THỌ. MỚI HOÀN THIỆN. CHỈ 2.x TỎI.,"2,85 tỷ","79,17 triệu/m²",36 m²,"Đường Lê Đức Thọ, Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh (Phường An Hội Đông, TP Hồ Chí Minh mới)","DT: 36m². Trệt + 2 lầu + sân thượng. 

Nhà xây lệch tầng nên rất thoáng sáng. Nhà xây rất kỹ, vật liệu loại tốt, nội thất đủ các phòng.

Hiện đang cho thuê 4 phòng - 12 chai/tháng, khách mua đầu tư hoặc giữ tài sản đều tốt.

Sát hẻm xe hơi thông, xe hơi tránh nhau. Gần Nguyễn Oanh, Lê Đức Thọ, Lê Hoàng Phái, Nguyễn Văn Lượng, Thống Nhất, Phan Văn Trị. Tiện ích bủa vây.

Di chuyển nhanh qua Bình Thạnh, Q.12, Tân Bình, Sân Bay.

VGTDL623364",0966964735,"Nhà ngõ, hẻm",36 m²,,"79,17 triệu/m²",Đã có sổ,4 phòng,,4,,,,,,,,"[114.86, 118.47, 118.47, 105.43, 105.43, 114.67, 114.67, 115.81, 115.31, 115.31, 100, 103.44, 103.44]"
BÁN CHDV LÊ ĐỨC THỌ. 6x21 VUÔNG A4. HXH. CHO THUÊ 30TR/TH. NHỈNH 9TỶ,"9,79 tỷ","78,32 triệu/m²",125 m²,"Đường Lê Đức Thọ, Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh (Phường An Hội Đông, TP Hồ Chí Minh mới)","+ Kết cấu: Căn nhà trệt một lầu chuồng cu sân thượng 3PN 2WC 
+ tầng trệt có 4 phòng trọ cao cấp cho thuê, có lối đi riêng, tổng thu nhập 30triệu/1 tháng. Khách mua vào có thu nhập ngay.
+ Diện tích: 4,6 x 21 sổ công nhận 96m sử dụng 125m ( cộng thêm 29m sử dụng riêng cái hẻm bên hông cho dãy trọ 1,4m x 21 m ) 
+ Hẻm rộng 6m 1 trục Lê Đức Thọ thông ra đường bờ kè, vị trí đẹp, giá trị tăng cao khi đường bờ kè hoàn thành.
+ Sổ vuông đẹp, hoàn công đủ, công chứng ngay.",0393996868,"Nhà ngõ, hẻm",125 m²,250 m²,"78,32 triệu/m²",Đã có sổ,7 phòng,Nhiều hơn 6 phòng,3,,Đông Nam,Hẻm xe hơi,6 m,21 m,,,"[121.82, 95.97, 87.46, 87.46, 116.46, 116.46, 103.3, 103.3, 104.24, 116.2, 104.21, 103, 103]"
"CHÍNH CHỦ BÁN NHÀ 736/205/33N LÊ ĐỨC THỌ, PHƯỜNG 15, GÒ VẤP",12 tỷ,150 triệu/m²,80 m²,"736/205/33N, Đường Lê Đức Thọ, Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh (Phường An Hội Đông, TP Hồ Chí Minh mới)","CHÍNH CHỦ BÁN NHÀ 736/205/33N LÊ ĐỨC THỌ, PHƯỜNG AN HỘI ĐÔNG , TPHCM ( PHƯỜNG 15, QUẬN GÒ VẤP CŨ). NHÀ NẰM TRONG KHU PHÂN LÔ ĐƯỜNG TRƯỚC NHÀ 8M - CHIA LÀM 2 LÀN ĐƯỜNG. NHÀ CÁCH SÔNG VÀM THUẬN 50M. DIỆN TÍCH 4* 20M. GIÁ 12 tỷ. Nhà chủ tự xây để ở nên yên tâm, nội thất đầy đủ. + 1 trệt 1 lững 2 lầu sân thượng trước sau. Trệt để ôtô + bếp + lửng 1 phòng khách + 4 phòng ngủ ( phòng master có bồn tắm) , 1 phòng thờ, sân thượng phơi đồ và trồng cây trước sau+ 5 nhà vệ sinh. Khu phân lô bên sông Vàm Thuật, con sông đang được thi công làm đường ven sông dự kiến hoàn thành năm 2026. Dự kiến sẽ có 1 bến du thuyền và cầu bắc qua quận 12. 
👉 Tiện ích: Trường mầm non Hồng Ân, Hương Sen, Việt Anh, Tuệ Đức bán kính 50m đến 300m. Trường Tiểu học Điểm Lê Đức Thọ, Võ Thị Sáu và Lê Hoàn bán kính 200m -500m, trường cấp 3 Nguyễn Trung Trực 300m. Lotte mart 1,5km. Bách
 Hóa xanh, winmart, coopfood 100 -300m. Chợ Hoàng Mai 400m. Đi lại thuận tiện. Sổ hồng hoàn công đầy đủ.",,"Nhà ngõ, hẻm",80 m²,,150 triệu/m²,Đã có sổ,5 phòng,5 phòng,,Nội thất đầy đủ,Tây,Hẻm xe hơi,4 m,20 m,,,"[121.82, 95.97, 87.46, 87.46, 116.46, 116.46, 103.3, 103.3, 104.24, 116.2, 104.21, 103, 103]"
NHÀ MỚI LUNG LiNH CHO GIA ĐÌNH NHỎ TÀI CHÍNH THẤP,"3,55 tỷ","110,94 triệu/m²",32 m²,"Hẻm 111// phạm văn chiêu phường 14 cũ, Hẻm 111 Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh (Phường An Hội Tây, TP Hồ Chí Minh mới)","Chính chủ bán nhà sổ hồng riêng hoàn công đầy đủ
1 trệt 2 lầu 2pn + 3WC
Ngang 3m2 x 10m 
Có ban công + sân thượng + giếng trời đầy đủ mọi công năng + tặng toàn bộ nội thất như trong nhà
Giá còn Thương lượng ít ạ
Có HH cho ace mg giới thiệu
Hẻm vào nhà 3m",0931321100,"Nhà ngõ, hẻm",32 m²,100 m²,"110,94 triệu/m²",Đã có sổ,2 phòng,3 phòng,2,Nội thất đầy đủ,Đông Nam,Hẻm xe hơi,3.2 m,10 m,,,"[105.71, 108.33, 105.8, 104, 104, 107.82, 114.29, 114.29, 120.59, 122.49, 122.49, 122.49, 122.49]"
