tieu_de,gia_ban,don_gia,dien_tich,dia_chi,mo_ta,dien_thoai,loai_hinh,dien_tich_dat,dien_tich_su_dung,gia_m2,giay_to_phap_ly,so_phong_ngu,so_phong_ve_sinh,tong_so_tang,tinh_trang_noi_that,huong_cua_chinh,dac_diem,chieu_ngang,chieu_dai,ma_can,ten_phan_khu_lo,bieu_do_gia
BÀ CHIỂU HXH 4 TẦNG 60m2 - 11. TỶ THƯƠNG LƯỢNG,"11,5 tỷ","191,67 triệu/m²",60 m²,"Đường Nơ Trang Long, Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Lợi Trung, TP Hồ Chí Minh mới)","HẺM XE TẢI TRÁNG NHỰA, SỔ NỞ HẬU 4,6M
+ Kết cấu: 1 trệt 2 lầu. Sân thượng rộng thoáng mát.
+ Nhà 1 đời chủ, xây dựng kiên cố, đang có 4 phòng ngủ, 3 wc có thể dọn vào ở ngay hoặc thiết kế lại theo ý thích.
.+ Khu bàn cờ thông, cơ quan hành chính nhà nước xung quanh, nhà lầu đồng bộ, văn minh, yên tĩnh.
+ Chợ Bà Chiểu, Bv Gia Định, Ung Bướu, giao thông thuận tiện.
+ Pháp lý chuẩn - Hoàn công đầy đủ.",0377688131,"Nhà ngõ, hẻm",60 m²,,"191,67 triệu/m²",Đã có sổ,4 phòng,3 phòng,4,,Tây Bắc,Hẻm xe hơi,4.5 m,15 m,,,"[129.66, 129.66, 129.66, 112.95, 146.61, 145.9, 136.96, 89.33, 125, 150.45, 150.45, 150.45, 150.45]"
"Biệt thự 3Tầng Bình Lợi ven sông Sài Gòn 10x20m(200m2) giá bán 24,5 tỷ","24,5 tỷ","122,50 triệu/m²",200 m²,"Đường Bình Lợi, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Lợi Trung, TP Hồ Chí Minh mới)","Cần bán gấp biệt thự ven sông Sài Gòn đường Bình Lợi, P13, Bình Thạnh

+ Diện tích 10m x 20m.

+ Nhà 1 trệt 2 lầu.

+ 5 phòng ngủ 5 nhà vệ sinh, gara ô tô.

+ Sân rộng để 3 chiếc ô tô 10 chiếc xe máy thoải mái, có thể cải tạo lại thành sân vườn.

+ Nhà nằm trong khu biệt thự ven sông Sài Gòn, quanh năm mát mẻ.

+ Sạch sẽ an ninh, dân trí cao văn minh yên tĩnh.

+ Sổ đẹp vuông vức hoàn công đầy đủ.

+ Giá bán 24,5 tỷ bớt lộc.",0984269535,Nhà biệt thự,200 m²,317 m²,"122,50 triệu/m²",Đã có sổ,5 phòng,5 phòng,3,,Đông Nam,Hẻm xe hơi,10 m,20 m,,,[]
"NHÀ 4LẦU MẶT TIỀN ĐƯỜNG VÕ OANH(D3 cũ)P25,BT.Đoạn KD sầm uất - 6pn 7wc","33,9 tỷ","385,23 triệu/m²",88 m²,"72, Đường Võ Oanh, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Thạnh Mỹ Tây, TP Hồ Chí Minh mới)","$-) 33,9ty TL - BÁN NHÀ MẶT TIỀN SỐ 72 VÕ OANH, P25, BÌNH THẠNH 
/-rose trả phí môi giới : 1% 

• Diện tích : 4,34m x 20m (nở hậu 4,4m)
• Kết cấu: Trệt + 4 lầu (hoàn công đủ) với diện tích sổ CN : 88m2 - dt sàn : 280m2
• Bao gồm:
• Mặt bằng trệt suốt phục vụ kinh doanh
• 6 căn hộ full nội thất cao cấp
• 7WC (tất cả các phòng đều có ban công trước và sau )
• Nội thất cao cấp các căn hộ cho thuê .
• dự tính cho thuê: 950 triệu đồng/1năm. ( Nhà đang cho thuê , A/Ce tư vấn khách tránh ảnh huởng hoạt động KD, Khách Nét thì xem trong )
• Vị trí: mặt tiền đuờng Võ Oanh, Khu phố ẩm thực , thuận tiện kinh doanh & cho thuê.gần 5 trường đại học (HUTECH, Ngoại Thương, GTVT, Hồng Bàng,...

$-) Giá bán: 33,9ty TL ( hỗ trợ mua Bank ).",0969667879,"Nhà mặt phố, mặt tiền",88 m²,300 m²,"385,23 triệu/m²",Đã có sổ,6 phòng,Nhiều hơn 6 phòng,4,Nội thất cao cấp,Nam,Nhà nở hậu,4.4 m,20 m,,,"[226.67, 220, 223.4, 223.4, 240.85, 235.29, 243.75, 222.22, 236.36]"
"NHÀ MẶT TIỀN 5LẦU ĐƯỜNG NGUYỄN VĂN THƯƠNG (D1 cũ) P25,BT. 9PN - 5wc.","25,8 tỷ","322,50 triệu/m²",80 m²,"89, Đường Nguyễn Văn Thương, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Thạnh Mỹ Tây, TP Hồ Chí Minh mới)","$-) 25,8ty TL - BÁN TÒA NHÀ VP, MẶT TIỀN SỐ 89 NGUYỄN VĂN THƯƠNG, P25 , BÌNH THẠNH – Khu văn phòng cty, kinh doanh sầm uất, kế TTTM Pearl Plaza, Ga Metr.
/-rose trả phí môi giới : 1%

✅ Diện Tích: 4 x 20m ( ban công trước sau )

✅ Dtcn : 62.6m²

✅ dt sàn hoàn công : 315m²

✅ Kết Cấu: 5 Tầng gồm 10phòng suốt + 5wc – có thang máy! Thiết Kế Hiện Đại, Thích Hợp Làm Văn Phòng cty , trung tâm Anh Ngữ , Căn Hộ DV , Spa… khai thác cho thuê doanh thu 850tr/năm.

✅ Vị Trí Đẹp – kế TTTM Pearl Plaza, Ga Metro Trường Đại Học Hutech, GTVT, Ngoại Thương, Hồng Bàng … Cách Trung Tâm Q1 Chỉ 5 Phút

✅ Khu Kinh Doanh Sầm Uất – Lý Tưởng Để Ở Kết Hợp Khai Thác Dòng Tiền Cho Thuê…

$-) Giá Bán: 25,8ty tl ( hỗ trợ mua Bank )",0898196979,"Nhà mặt phố, mặt tiền",80 m²,320 m²,"322,50 triệu/m²",Đã có sổ,9 phòng,5 phòng,5,Nội thất đầy đủ,Đông,Nhà nở hậu,4 m,20 m,,,[]
HXH - GẦN MẶT TIỀN NGUYỄN VĂN ĐẬU- DIỆN TÍCH,"4,7 tỷ","97,92 triệu/m²",48 m²,"Đường Nguyễn Văn Đậu, Phường 5, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Lợi Trung, TP Hồ Chí Minh mới)","HXH - GẦN MẶT TIỀN NGUYỄN VĂN ĐẬU- DIỆN TÍCH LỚN
+ Kết cấu: 1 trệt 1 lầu. BTCT.
+ Nhà ở 3PN 2WC.
+ HXH, gần mặt tiền
+  Nhà hẻm thông thoáng ,vị trí đẹp, khu víp
+ Pháp lý chuẩn, sổ nở hậu. công chứng ngay.
#10113.470",,"Nhà ngõ, hẻm",48 m²,,"97,92 triệu/m²",,3 phòng,2 phòng,,,,,,,,,"[150.83, 150.83, 150.83, 152.04, 134.4, 127.91, 124.37, 143.94, 160.35, 160.35, 122.71, 163.76, 151.41]"
HXT PHAN XÍCH LONG BÌNH THẠNH - 70m2 - 9.3TỶ,"9,3 tỷ","132,86 triệu/m²",70 m²,"Đường Phan Xích Long, Phường 3, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Gia Định, TP Hồ Chí Minh mới)","- Kết cấu : 1 trệt 2 lầu có sân thượng, nhà xây dựng kiểu cũ, cốt vững chắc. Tiện sửa, xây mới để ở hoặc mục tiêu khai thác CHDV, homestay.
- Công năng : 5 phòng ngủ, 3WC, dọn vào ở đón tết Bính Ngọ.
- Hẻm xe tải, xe hơi ngủ nhà, cách 10m ra mặt tiền đường
- Vị trí phố ẩm thực Vạn Kiếp - Phan Xích Long.
- Pháp lý chuẩn, sổ hồng riêng.
- KHÔNG QUY HOẠCH - KHÔNG LỘ GIỚI",0377688131,"Nhà ngõ, hẻm",70 m²,,"132,86 triệu/m²",Đã có sổ,5 phòng,4 phòng,,Hoàn thiện cơ bản,Tây Bắc,Hẻm xe hơi,5 m,,,,"[132.35, 140.35, 135.66, 143.62, 143.62, 152.55, 150, 140.35, 140, 139.53, 139.53, 139.53, 139.53]"
"Đinh Bộ Lĩnh giáp Điện Biên Phủ ,P 15 ,Bình Thạnh .dt:4.5x 24 , 130m2","10,8 tỷ","83,08 triệu/m²",130 m²,"Đường Điện Biên Phủ, Phường 15, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Gia Định, TP Hồ Chí Minh mới)","Đinh Bộ Lĩnh giáp Điện Biên Phủ .Phường 15 , Bình Thạnh .

Dt: 4.5x 24 , 130m2, 10.8 tỷ TL 

+ Chính chủ gấp bán.
+ Diện tích lớn tiện xây CHDV gần 5 trường ĐH lớn
+ Gần ngay ngã tư hàng xanh, ngân hàng, trường học, bệnh viện, tiện qua quận 1.

☎️ LH: *** Tuyết Lâm Nhà Đẹp 
Tuyết Lâm Nhà Đẹp
Chuyên BĐS Dòng Tiền 
Các Quận Trung Tâm",0784212443,"Nhà ngõ, hẻm",130 m²,130 m²,"83,08 triệu/m²",Đã có sổ,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,2,Hoàn thiện cơ bản,,,4.5 m,24 m,,,"[152, 119.11, 143.74, 143.74, 148.75, 148.75, 154.57, 152.24, 132.6, 132.6, 175, 175, 175]"
Bán biệt thự 12x14 hầm + 3 lầu,62 tỷ,"204,62 triệu/m²",303 m²,"Đường Đinh Bộ Lĩnh, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Thạnh, TP Hồ Chí Minh mới)","Bán biệt thự nở hậu, khu an ninh, đường nội bộ 10m, tiện ích xung quanh đầy đủ.
- Diện tích: 12,15 x 13,70
- Kết cấu : bán hầm + 3 lầu
- 5 PN, 6 WC, nội thất gỗ cao cấp,
- Sổ hồng đầu đủ
- Giá 62 tỷ",0988283579,Nhà biệt thự,303 m²,682.7 m²,"204,62 triệu/m²",Đã có sổ,5 phòng,6 phòng,4,Nội thất cao cấp,Đông Bắc,,12.15 m,22.75 m,,,[]
"💥Nhà Hẻm xe hơi 49m,Ba phòng ngủ, 8 tỷ tl.",8 tỷ,"163,60 triệu/m²",48.9 m²,"Hẻm 549, Đường Xô Viết Nghệ Tĩnh, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Thạnh, TP Hồ Chí Minh mới)","🌈Nhà bán hẻm 549 Xô Viết Nghệ Tĩnh thông Đinh Bộ Lĩnh. 
✅Diện tích 49m ,ba phòng ngủ, ba toilets, mặt bằng trệt đang cho thuê 10tr/1 tháng. 
✅Thuận tiện di chuyển
 q1,Thủ Đức, q2,Phú Nhuận. 
✅Tiện ích xung quanh gần trường học Lê Văn Tám, trường, chợ Chu Văn An, Bank ....
✅ Giá yêu thương : 8 tỷ tl.
Alo em Thông xem nhà ***",0815677938,"Nhà ngõ, hẻm",48.9 m²,120 m²,"163,60 triệu/m²",Đã có sổ,3 phòng,3 phòng,3,,,Hẻm xe hơi,3.2 m,15 m,,,"[129.17, 145.83, 156.55, 130.91, 122.01, 130, 154.72, 154.72, 148.21, 137.85, 137.85, 140, 147.5]"
"💥BÁN GẤP💥 Nhà HXH - 92M2 x 4 TẦNG ĐÚC (4x23) - 5P Ngủ 💰 11,X Tỷ tL",11 tỷ,"119,57 triệu/m²",92 m²,"45/42A, Đường Nguyễn Văn Đậu, Phường 5, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Lợi Trung, TP Hồ Chí Minh mới)","💥CHỦ BÁN GẤP ĐI ĐỊNH CƯ💥 
HXH - 92M2 X 4 TẦNG Đúc Bê Tông
 💰💰 Chỉ 11,x Tỷ tl
Ngang 4M dài 23M - Giá cực tốt❤️‍🔥❤️‍🔥
(Cạnh MT - 5P Ngủ - Ở Tốt - làm CHDV)

🌏 45/42A NGUYỄN VĂN ĐẬU - BÌNH THẠNH Thông PHAN ĐĂNG LƯU Giáp Q1 - Phú Nhuận Sầm Uất

📕Nhà Sổ hồng riêng - Chuẩn Hoàn Công Đủ, Giao dịch công chứng trong ngày
☎️ ib em Hậu xem nhà gặp chính chủ",,"Nhà ngõ, hẻm",92 m²,320 m²,"119,57 triệu/m²",Đã có sổ,5 phòng,5 phòng,4,Hoàn thiện cơ bản,,Hẻm xe hơi,4 m,23 m,,,"[150.83, 150.83, 150.83, 152.04, 134.4, 127.91, 124.37, 143.94, 160.35, 160.35, 122.71, 163.76, 151.41]"
Nhà hẻm cách mặt tiền 20m,"2,85 tỷ","142,50 triệu/m²",20 m²,"Đường Chu Văn An, Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Thạnh, TP Hồ Chí Minh mới)","Nhà trong hẻm cách đường lớn 20m
Khu dân cư yên tĩnh, không ngập lụt, gần trường học cán bộ TPHCM, siêu thi, chợ,... 
Diện tích 3x 6,5m 
Giá 2 tỷ 850 còn thương lượng
Sổ hồng chính chủ 
LH ***",0567891682,"Nhà ngõ, hẻm",20 m²,20 m²,"142,50 triệu/m²",,2 phòng,1 phòng,2,,,Hiện trạng khác,3 m,6.5 m,,,"[132.67, 132.67, 169.64, 169.64, 133.33, 133.33, 148.64, 148.64, 136.36, 156.25, 143.79, 171.74, 171.74]"
🍀VÂN KIỀU AN CƯ🍀CHU VĂN AN – BÌNH THẠNH - 40M2 -4 TẦNG BTCT - NGANG 5M,"6,4 tỷ",160 triệu/m²,40 m²,"Hẻm 287/14 Chu Văn An, Phường 14, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Thạnh, TP Hồ Chí Minh mới)","🍀VÂN KIỀU AN CƯ🍀

🏡 CHU VĂN AN – BÌNH THẠNH - 40M2 - 4 TẦNG BTCT - NGANG 5M - 💋CHỈ 6.4Tỷ
✨ Ngang đẹp – hoàn công đầy đủ – khu dân cư hiện hữu

📐 5m x 8m | 1 trệt 3 lầu + sân thượng | 3PN – 4WC
💰 Giá: 6.4 tỷ

🔹 Vị trí:
 • Hẻm Chu Văn An, Bình Thạnh
 • Khu dân cư an ninh, yên tĩnh, di chuyển nhanh ra trung tâm

🔹 Thông tin nhà:
 • Kết cấu: 1 trệt 3 lầu + sân thượng, BTCT kiên cố
 • Công năng: 3 phòng ngủ – 4 WC, phòng khách, bếp rộng
 • Nhà mới đẹp, nội thất như hình – vào ở ngay

🔹 Ưu điểm nổi bật:
 • Ngang hiếm 4.7m, nhà vuông vức, phong thủy tốt
 • Hẻm ba gác, sạch sẽ, dân trí cao
 • Phù hợp ở gia đình trẻ hoặc cho thuê giữ tiền

📜 Pháp lý:
 • Sổ hồng riêng – sổ mới đẹp
 • Hoàn công đầy đủ (sổ đang làm hoàn công, đảm bảo ra sổ chuẩn)",0357753823,"Nhà ngõ, hẻm",40 m²,,160 triệu/m²,Đã có sổ,3 phòng,4 phòng,4,Nội thất đầy đủ,,Hẻm xe hơi,5 m,8 m,,,"[112.5, 115.85, 115.85, 96.88, 119.05, 133.33, 137.93, 137.93, 142.86, 147.06, 147.06, 147.06, 147.06]"
"6,4 Tỷ DT: 7m×18m Lê.Q.Đinh","6,4 tỷ","88,89 triệu/m²",72 m²,"Đường Lê Quang Định, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Thạnh Mỹ Tây, TP Hồ Chí Minh mới)","Nhà Đường Lê Quang Định
▪︎DT : 72m2 ( 7m × 18m )
Trệt + lầu +5 phòng ngủ.
▪︎Cách M.Tiền L.Q.Đ 20m
▪︎Sổ Hồng Riêng

 BÁN : 6,4 Tỷ",0901246430,"Nhà ngõ, hẻm",72 m²,,"88,89 triệu/m²",Đã có sổ,6 phòng,6 phòng,2,Nội thất đầy đủ,,,7 m,18 m,,,"[119.57, 119.46, 119.46, 112.83, 130.43, 118, 111.11, 114.95, 116.67, 116.67, 121.95, 121.95, 121.95]"
