tieu_de,gia_ban,don_gia,dien_tich,dia_chi,mo_ta,dien_thoai,loai_hinh,dien_tich_dat,dien_tich_su_dung,gia_m2,giay_to_phap_ly,so_phong_ngu,so_phong_ve_sinh,tong_so_tang,tinh_trang_noi_that,huong_cua_chinh,dac_diem,chieu_ngang,chieu_dai,ma_can,ten_phan_khu_lo,bieu_do_gia
MẶT TIỀN THÍCH QUẢNG ĐỨC. 40m2 DT 26TR/T G11 tỷ 3,"11,3 tỷ","282,50 triệu/m²",40 m²,"Đường Thích Quảng Đức, Phường 4, Quận Phú Nhuận, Tp Hồ Chí Minh (Phường Đức Nhuận, TP Hồ Chí Minh mới)","CHỦ GẤP BÁN GIẢM 700TR GIÁ MỚI 11 TỶ 3

Thích Quảng Đức ,Phường 4 Phú Phú Nhuận 

VỊ TRÍ TUYỆT ĐẸP SẦM UẤT NHẤT THÍCH QUẢNG ĐỨC .

Nhà đối diện trưởng học kinh doanh buôn bán khỏi chê, hiện tại nhà đang cho thuê 26tr/t , dòng tiền ổn định. Hết hạn thuê 31/5/2026 có thể gia hạn, or khách mua chuyển đổi hợp đồng thuê.
Diện tích: 3,2 x 13, công nhận 40 chuẩn, 1 trệt 1 lầu nói chung nhà mua về để nguyên cho thuê or xây dựng mới là tuyệt vời.
Hãy gọi Mr. Quý nhé",0962961239,"Nhà mặt phố, mặt tiền",40 m²,80 m²,"282,50 triệu/m²",Đã có sổ,2 phòng,2 phòng,2,Nội thất đầy đủ,,,3.2 m,13 m,,,[]
Cần Tiền Bán Gấp nhà đang ở giá xe máy hẻm thông 2tầng 46m2 nhỉn 2,"2,85 tỷ","123,91 triệu/m²",23 m²,"Đường Huỳnh Văn Bánh, Phường 13, Quận Phú Nhuận, Tp Hồ Chí Minh (Phường Phú Nhuận, TP Hồ Chí Minh mới)","HIẾM NHÀ DƯỚI 3 TỶ NGAY NGÃ 4 PHÚ NHUẬN DUY TÂN HUỲNH VĂN BÁNH 2 TẦNG ( 6M5 * 3M5) - 2x.tỷ TL được lộc 

🔥 Vì sao phải xem ngay hôm nay?

Kết cấu : 
✔ 1 trệt 1 lầu – 2PN – 2WC
✔ Hẻm thông sạch sẽ – khu dân trí cao
✔ Tặng full nội thất – dọn vào ở ngay
✔ Sổ hồng riêng – pháp lý chuẩn 

💥 Tầm giá này ở Phú Nhuận gần như KHÔNG còn căn thứ 2.
💥 Phù hợp gia đình trẻ – mua ở giữ tiền – đầu tư cho thuê cực ổn . 
📞 Nhà thật – giá thật – thiện chí thật 

Ai đang tìm nhà trung tâm thành phố dưới 3 tỷ mà bỏ qua căn này là tiếc lắm ạ.",0383708786,"Nhà ngõ, hẻm",23 m²,46 m²,"123,91 triệu/m²",Đã có sổ,2 phòng,2 phòng,2,Nội thất đầy đủ,Đông Nam,,6.5 m,3.5 m,,,"[129.87, 129.87, 173.98, 180.56, 179.09, 175, 184.91, 180.51, 201.73, 201.73, 205.56, 205.56, 185.14]"
NHÀ MỚI HXH PHAN XÍCH LONG 5TẦNG - 200m2 - 10.5T,"10,5 tỷ","194,44 triệu/m²",54 m²,"Đường Phan Xích Long, Phường 7, Quận Phú Nhuận, Tp Hồ Chí Minh (Phường Cầu Kiệu, TP Hồ Chí Minh mới)","- Hẻm 4m thông tứ tung cách mặt tiền 4 căn. Ngay trung tâm Phú Nhuận P7 cũ, khu Phan Xích Long - Phan Đăng Lưu.
- Nhà mới 5 tầng BTCT: Trệt + lửng + 2 lầu + sân thượng full nội thất. Mỗi tầng 1PN master WC khép kín, tổng 4PN 5WC.
- Thích hợp ở hoặc làm CHDV thu nhập cao vì phòng rất rộng.
- Sổ pháp lý chuẩn công chứng ngay.",0377688131,"Nhà ngõ, hẻm",54 m²,210 m²,"194,44 triệu/m²",Đã có sổ,4 phòng,5 phòng,5,Nội thất cao cấp,Đông Bắc,Hẻm xe hơi,3.6 m,,,,"[195.86, 195.86, 176.19, 176.19, 171.71, 154.96, 154.96, 154.96, 136.18, 158.41, 174.71, 174.71, 174.71]"
🏡 KHU VIP PHAN XÍCH LONG – P1 PHÚ NHUẬN | NHÀ ĐẸP 4 TẦNG | GẦN HẺM XE,"8,99 tỷ","179,80 triệu/m²",50 m²,"Đường Phan Xích Long, Phường 1, Quận Phú Nhuận, Tp Hồ Chí Minh (Phường Cầu Kiệu, TP Hồ Chí Minh mới)","Nhà đẹp khu VIP Phan Xích Long P1 Phú Nhuận, DT đất 50m², kết cấu 4 tầng kiên cố, 4PN – 5WC.
Vị trí cực hiếm, chỉ 10 bước ra hẻm xe hơi tránh, khu dân trí cao, ở hoặc cho thuê đều đỉnh.
Giá chốt 8.99 tỏi 🧄",0965263557,"Nhà ngõ, hẻm",50 m²,,"179,80 triệu/m²",Đã có sổ,4 phòng,5 phòng,4,Nội thất đầy đủ,,Hiện trạng khác,,,,,"[181.25, 181.25, 181.25, 181.25, 181.25, 181.25, 181.25, 181.25, 181.25, 181.25, 181.25]"
✅GIẢM 400TR GIÁ VỀ 9.5TY-BÁN GẤP MẶT TIỀN 6TẦNG 6PN 43M TT PHÚ NHUẬN,"9,5 tỷ","211,11 triệu/m²",45 m²,"Đường Lê Tự Tài, Phường 4, Quận Phú Nhuận, Tp Hồ Chí Minh (Phường Đức Nhuận, TP Hồ Chí Minh mới)","🔥 QUÁ HIẾM – CĂN *** – MẶT TIỀN TRUNG TÂM PHÚ NHUẬN – CHỈ 9Tỷ5
 • 📏 (4.1m x 11m), Cn 42m2 -VUÔNG VỨC, diện tích đẹp, dễ khai thác.
 • 📍 Vị trí : Gần Thích Quảng Đức trung tâm Phú Nhuận.
 • 🌳 Công năng: 1 Trệt 5 lầu đúc + 1 tum , sân thượng phía trước - 6Pn không khí mát mẻ, dân trí cao.
• Phù hợp: mua ở, khai thác kinh doanh, hoặc cho thuê làm Vp, cty, spa, CHDV.. đầu tư tốt, dòng tiền ổn định.
• Sổ cá nhân, công chứng mua bán ngay.
📞 (Hằng bds) Hổ trợ 24/7 xem nhà & TL giá tốt
#hangnhaphochinhchu @kyguimuabannhadat ##batdongsan #nhapho #nhadep #nhagiare #letutaiphunhuan #nhaquanphunhuan@",,"Nhà mặt phố, mặt tiền",45 m²,,"211,11 triệu/m²",Đã có sổ,6 phòng,,6,,,,4.1 m,,,,"[200, 184.48, 175.18, 194.44, 191.57, 211.58, 178.91]"
Bán nhà nát 2 căn liền kề 60+53m2 hẻm chợ Đa Kao,"13,5 tỷ",225 triệu/m²,60 m²,"Trương Hán Siêu, Phường 7, Quận Phú Nhuận, Tp Hồ Chí Minh (Phường Cầu Kiệu, TP Hồ Chí Minh mới)","Mô tả chi tiết *
Bán nhà nát 2 căn liền kê 60+53m2 hẻm chợ Đa
Kao Q.1
- ĐC: 7/2 & 7/3 Trương Hán Siêu P.Đa Kao Q.1 (không bán rời từng căn)
- Ngang 4x15m & 4x13m. Có sổ hồng.
- Giá 6,5 + 7 = 13,5 tỷ
- Hiện trạng nhà nát, không lầu, hẻm nhỏ, nằm trong khu chợ Đa Kao.",0918070518,"Nhà ngõ, hẻm",60 m²,60 m²,225 triệu/m²,,4 phòng,,,,,Nhà nát,4 m,15 m,,,"[149.65, 161.06, 161.06, 145.83, 161.82, 143.48, 143.48, 150.61, 137.93, 150.68, 150.68, 150.68, 150.68]"
"Nhỉnh 8Ty,Nhà Hẻm Xe Hơi 5PN Kế bên Khu Phan Xích Long Phú Nhuận","8,7 tỷ","193,33 triệu/m²",45 m²,"Đường Thích Quảng Đức, Phường 4, Quận Phú Nhuận, Tp Hồ Chí Minh (Phường Đức Nhuận, TP Hồ Chí Minh mới)","HẺM XE HƠI KẾ BÊN KHU PHAN XÍCH LONG PHÚ NHUẬN - 41m2 - NHÀ MỚI 4 TẦNG 5PN FULL NỘI THẤT - CHỈ 8,X TỶ
☎️ Bấm *** ALO ngay cho Quân
👉 Nhận Ký, Gửi - Tư Vấn,Hỗ trợ tìm Nhà Phố miễn phí các Quận Trung Tâm TP.HCM
Mô tả :
- Kết cấu : 1 trệt, 3 lầu, sân thượng.
- Gồm : 5PN, 6WC.
- Nhà 2 mặt trước sau thoáng.",0909761320,"Nhà ngõ, hẻm",45 m²,,"193,33 triệu/m²",,5 phòng,,,,,,,,,,"[150, 150, 150, 150, 140, 141.82, 194.62, 194.62, 164.54, 159.79, 159.79, 179.63, 179.63]"
Bán Nhà HXH Nguyễn Trọng Tuyển – Vị Trí Đẹp – Thu Nhập Cao,"11,5 tỷ","168,13 triệu/m²",68.4 m²,"Đường Nguyễn Trọng Tuyển, Phường 15, Quận Phú Nhuận, Tp Hồ Chí Minh (Phường Cầu Kiệu, TP Hồ Chí Minh mới)","📍 Vị trí cực đẹp – trung tâm Phú Nhuận, hẻm xe hơi rộng rãi, cách mặt đường Nguyễn Trọng Tuyển chỉ 30m, khu toàn nhà mới – dân trí cao – khách thuê đông quanh năm.

🏡 Kết cấu:
• Diện tích: 3.6 x 19m 
• Nhà 5 tầng kiên cố
• Gồm 7 phòng ngủ – 6 vệ sinh
• Nhà thiết kế tối ưu cho mô hình căn hộ dịch vụ / homestay / thuê dài hạn
• Thu nhập ổn định, dòng tiền đều – vào là có lời ngay

💎 Ưu điểm nổi bật:
• Hẻm thẳng, sạch đẹp, thông thoáng, xe hơi ra vào thoải mái
• Khu chuyên cho thuê dịch vụ, văn phòng nhỏ, khách thuê ổn định
• Nhà đẹp, đầy đủ tiện nghi, chỉ việc khai thác tiếp
🌟 Tiện ích khu vực – cực kỳ tiềm năng:

✔ Gần sân bay Tân Sơn Nhất – chỉ 5 phút chạy xe, cực hút khách thuê công tác – phi công – tiếp viên
✔ Sát đường Nguyễn Văn Trỗi – Trần Huy Liệu: trục chính đi Q1, Q3, Tân Bình cực nhanh
✔ Gần chợ Phú Nhuận, hệ thống siêu thị Coopmart – Winmart – tiện ích 24/7
✔ Bao quanh bởi quán cà phê – nhà hàng – cửa hàng tiện lợi – phòng gym – ngân hàng
✔ Khu dân cư an ninh, camera đầy đủ, dân trí cao, yên tĩnh
✔ Gần các tòa văn phòng lớn – nhu cầu thuê phòng cực cao quanh năm",0938068611,"Nhà ngõ, hẻm",68.4 m²,194 m²,"168,13 triệu/m²",Đã có sổ,7 phòng,6 phòng,5,,,Hẻm xe hơi,3.6 m,19 m,,,[]
Chính Chủ bán nhà 2 tầng Phan Xích Long - 4x10 - Ở Ngay - Phú Nhuận,"7,6 tỷ",190 triệu/m²,40 m²,"1, Đường Phan Xích Long, Phường 2, Quận Phú Nhuận, Tp Hồ Chí Minh (Phường Cầu Kiệu, TP Hồ Chí Minh mới)","- Chính chủ bán nhanh 
- căn nhà Phan Xích Long - 2 tầng 
- 1 trệt 1 lầu đúc nhà mới chắc chắn 
- pháp lý chuẩn sổ hồng - mua bán công chứng ngay 
- Gia thương lượng trực tiếp chủ nhà 
- giá chào 7ty6 thương lượng cho khách thiện chí 
- xem nhà gọi em Bá hỗ trợ",0904609771,"Nhà ngõ, hẻm",40 m²,80 m²,190 triệu/m²,Đã có sổ,2 phòng,2 phòng,2,,,,4 m,10 m,,,"[198.75, 198.75, 170.55, 170.55, 168.57, 191.02, 170.78, 170.78, 178.1, 176.46, 176.46, 214.9, 214.06]"
"6x19m, 3 tầng, Hẻm xe hơi khu Sang - Nguyễn Trọng Tuyển, P8 Phú Nhuận","25,9 tỷ","225,22 triệu/m²",115 m²,"Đường Nguyễn Trọng Tuyển, Phường 8, Quận Phú Nhuận, Tp Hồ Chí Minh (Phường Phú Nhuận, TP Hồ Chí Minh mới)","Bán nhà Hẻm xe hơi khu Sang Nguyễn Trọng Tuyển, Phường 8, Phú Nhuận
✧ Vị trí: gần Ngã 4 Nguyễn Trọng Tuyển - Trương Quốc Dung, thuận tiện ra Sân bay Tân Sơn Nhất hoặc vào Trung tâm Q1. Hẻm xe hơi rất an ninh và yên tĩnh - kế bên căn góc 
✧ Diện tích công nhận 115m2: 6x19m, 3 tầng, hướng Đông
✧ Giá bán: 25.9 tỷ
✧ Nhà thật, ảnh thật, thông tin chính xác. Anh chị quan tâm vui lòng gọi điện trực tiếp hẹn lịch xem nhà",,"Nhà ngõ, hẻm",115 m²,,"225,22 triệu/m²",Đã có sổ,5 phòng,,3,,Đông,,6 m,19 m,,,"[166.82, 166.82, 166.82, 167.57, 167.57, 155.49, 145.29, 195.9, 190.74, 190.74, 190.74, 190.74, 190.74]"
NHÀ PHÚ NHUẬN - PHAN ĐĂNG LƯU- 5 TẦNG - CHỈ HƠN 11 TỶ- DÒNG TIỀN 20TR,"11,5 tỷ","216,98 triệu/m²",53 m²,"Đường Phan Đăng Lưu, Phường 5, Quận Phú Nhuận, Tp Hồ Chí Minh (Phường Đức Nhuận, TP Hồ Chí Minh mới)","🔥 NHÀ PHÚ NHUẬN – PHAN ĐĂNG LƯU – HẺM 6M – 5 TẦNG – DÒNG TIỀN 20TR/THÁNG – CHỈ HƠN 11 TỶ 🔥
💥 Cơ hội cực hiếm tại trung tâm Phú Nhuận – nhà đẹp sẵn dòng tiền, mua là khai thác ngay!
📐 Diện tích: 53m² (3.6 x 14)
🏢 Kết cấu: 1 trệt 3 lầu + sân thượng – tổng 5 tầng
🛏 Công năng: 5 phòng ngủ khép kín – phù hợp vừa ở vừa cho thuê
💸 Thu nhập: Trên 20 triệu/tháng ổn định
🚗 Hẻm trước nhà: 6m – xe hơi vào tận cửa
📍 Vị trí: Phan Đăng Lưu, Phường 3, Phú Nhuận
Khu dân trí cao, yên tĩnh, an ninh
Gần chợ, trường học, siêu thị, bệnh viện – tiện ích đầy đủ
📜 Pháp lý: Rõ ràng, chuẩn chỉnh
💰 Giá tốt: Chỉ từ 11.5 – 11.9 tỷ (thương lượng mạnh cho khách thiện chí)
✨ Nhà phù hợp:
✔ Gia đình ở kết hợp đầu tư
✔ Khai thác CHDV – dòng tiền ổn định
✔ Giữ tài sản khu trung tâm tăng giá tốt
📞 Liên hệ ngay
👉 Gặp chính chủ thương lượng – xem nhà là thích ngay!",0985233978,"Nhà ngõ, hẻm",53 m²,50.4 m²,"216,98 triệu/m²",Đã có sổ,5 phòng,5 phòng,5,Nội thất đầy đủ,,Hẻm xe hơi,3.6 m,14 m,,,"[129.47, 129.47, 129.47, 129.47, 129.47, 180.56, 195.62, 195.62, 195.62, 195.62, 195.62, 195.62, 195.62]"
"Bán nhà Cư Xá Nguyễn Đình Chiểu – 54m2 nở hậu, hẻm xe hơi trước sau, g",7 tỷ,"129,63 triệu/m²",54 m²,"Đường Nguyễn Đình Chiểu, Phường 4, Quận Phú Nhuận, Tp Hồ Chí Minh (Phường Đức Nhuận, TP Hồ Chí Minh mới)","🔥 GIẢM 800 TRIỆU CÒN 7 TỶ – HÀNG HIẾM CƯ XÁ NGUYỄN ĐÌNH CHIỂU PHÚ NHUẬN 🔥

🌹 Chính chủ giữ nhà 30 năm – khu cực hiếm nhà bán
🏡 54m2 (3.6x16) nở hậu vuông vức – 2 tầng BTCT
🚗 2 mặt hẻm xe hơi kinh doanh trước sau
📍 Gần phố ẩm thực Phan Xích Long – Ngã 4 Phú Nhuận – sân bay

✔️ 2PN – 2WC – giếng trời thoáng mát
✔️ Khu dân trí cao, an ninh, tiện ích đầy đủ
✔️ Trước cho thuê 15tr/tháng – giữ dòng tiền tốt

📜 Sổ hồng riêng – hoàn công đầy đủ – công chứng ngay
💰 Giá mới chỉ: 7 tỷ (đã giảm mạnh)

📞 Kim Phụng Land
Inbox xem nhà nhanh kẻo lỡ căn hiếm",0907430103,"Nhà ngõ, hẻm",54 m²,,"129,63 triệu/m²",Đã có sổ,2 phòng,2 phòng,2,Hoàn thiện cơ bản,Tây Bắc,Hẻm xe hơi,3.6 m,16 m,,,"[189.29, 189.29, 189.29, 189.29, 189.29, 145.41, 145.41, 135.5, 160.83, 156.02, 156.02, 199.6, 199.6]"
